2026/05/22 12:59:26 Initializing NeoCP Professional Core Daemon...
2026/05/22 12:59:26 Workspace root path: /app
2026/05/22 12:59:26 Sanboxed user storage folder: /app/sandbox
2026/05/22 12:59:26 [Scanner] Initializing real-time malware & integrity protection...
2026/05/22 12:59:26 Starting premium HTTPS service on https://localhost:8443 (Self-Signed Dev Mode)...
2026/05/22 13:13:26 [Scanner] Audit complete. Scanned 3962 files. 0 threats detected.
2026/05/22 13:13:26 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 13:13:56 [Scanner] Audit complete. Scanned 1431 files. 0 threats detected.
2026/05/22 13:14:26 [Scanner] Audit complete. Scanned 4953 files. 0 threats detected.
2026/05/22 13:14:26 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 13:14:56 [Scanner] Audit complete. Scanned 4305 files. 0 threats detected.
2026/05/22 13:14:56 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:15:26 [Scanner] Audit complete. Scanned 1984 files. 0 threats detected.
2026/05/22 13:15:56 [Scanner] Audit complete. Scanned 1039 files. 0 threats detected.
2026/05/22 13:16:26 [Scanner] Audit complete. Scanned 4559 files. 0 threats detected.
2026/05/22 13:16:56 [Scanner] Audit complete. Scanned 1327 files. 0 threats detected.
2026/05/22 13:17:26 [Scanner] Audit complete. Scanned 2145 files. 0 threats detected.
2026/05/22 13:17:26 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:17:56 [Scanner] Audit complete. Scanned 2103 files. 0 threats detected.
2026/05/22 13:18:26 [Scanner] Audit complete. Scanned 1566 files. 0 threats detected.
2026/05/22 13:18:56 [Scanner] Audit complete. Scanned 2515 files. 0 threats detected.
2026/05/22 13:18:56 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:19:26 [Scanner] Audit complete. Scanned 3114 files. 0 threats detected.
2026/05/22 13:19:56 [Scanner] Audit complete. Scanned 1399 files. 0 threats detected.
2026/05/22 13:19:56 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 13:20:26 [Scanner] Audit complete. Scanned 3353 files. 0 threats detected.
2026/05/22 13:20:26 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 13:20:56 [Scanner] Audit complete. Scanned 2359 files. 0 threats detected.
2026/05/22 13:21:26 [Scanner] Audit complete. Scanned 4527 files. 0 threats detected.
2026/05/22 13:21:56 [Scanner] Audit complete. Scanned 5210 files. 0 threats detected.
2026/05/22 13:21:56 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 13:22:26 [Scanner] Audit complete. Scanned 1631 files. 0 threats detected.
2026/05/22 13:22:56 [Scanner] Audit complete. Scanned 5987 files. 0 threats detected.
2026/05/22 13:23:26 [Scanner] Audit complete. Scanned 4164 files. 0 threats detected.
2026/05/22 13:23:56 [Scanner] Audit complete. Scanned 4151 files. 0 threats detected.
2026/05/22 13:24:26 [Scanner] Audit complete. Scanned 4652 files. 0 threats detected.
2026/05/22 13:24:56 [Scanner] Audit complete. Scanned 4855 files. 0 threats detected.
2026/05/22 13:24:56 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 13:25:26 [Scanner] Audit complete. Scanned 3023 files. 0 threats detected.
2026/05/22 13:25:26 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:25:56 [Scanner] Audit complete. Scanned 2692 files. 0 threats detected.
2026/05/22 13:25:56 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:26:26 [Scanner] Audit complete. Scanned 4129 files. 0 threats detected.
2026/05/22 13:26:26 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 13:26:56 [Scanner] Audit complete. Scanned 1084 files. 0 threats detected.
2026/05/22 13:27:26 [Scanner] Audit complete. Scanned 2688 files. 0 threats detected.
2026/05/22 13:27:26 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:27:56 [Scanner] Audit complete. Scanned 4764 files. 0 threats detected.
2026/05/22 13:27:56 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:28:26 [Scanner] Audit complete. Scanned 2657 files. 0 threats detected.
2026/05/22 13:28:56 [Scanner] Audit complete. Scanned 2654 files. 0 threats detected.
2026/05/22 13:28:56 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 13:29:26 [Scanner] Audit complete. Scanned 5950 files. 0 threats detected.
2026/05/22 13:29:56 [Scanner] Audit complete. Scanned 1091 files. 0 threats detected.
2026/05/22 13:29:56 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 13:30:26 [Scanner] Audit complete. Scanned 2365 files. 0 threats detected.
2026/05/22 13:30:26 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 13:30:56 [Scanner] Audit complete. Scanned 4284 files. 0 threats detected.
2026/05/22 13:31:26 [Scanner] Audit complete. Scanned 4456 files. 0 threats detected.
2026/05/22 13:31:56 [Scanner] Audit complete. Scanned 1808 files. 0 threats detected.
2026/05/22 13:32:26 [Scanner] Audit complete. Scanned 1682 files. 0 threats detected.
2026/05/22 13:32:56 [Scanner] Audit complete. Scanned 1335 files. 0 threats detected.
2026/05/22 13:33:26 [Scanner] Audit complete. Scanned 3865 files. 0 threats detected.
2026/05/22 13:33:56 [Scanner] Audit complete. Scanned 1784 files. 0 threats detected.
2026/05/22 13:33:56 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 13:34:26 [Scanner] Audit complete. Scanned 3903 files. 0 threats detected.
2026/05/22 13:34:56 [Scanner] Audit complete. Scanned 4681 files. 0 threats detected.
2026/05/22 13:35:26 [Scanner] Audit complete. Scanned 3314 files. 0 threats detected.
2026/05/22 13:35:56 [Scanner] Audit complete. Scanned 3685 files. 0 threats detected.
2026/05/22 13:35:56 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 13:36:26 [Scanner] Audit complete. Scanned 3850 files. 0 threats detected.
2026/05/22 13:36:56 [Scanner] Audit complete. Scanned 2883 files. 0 threats detected.
2026/05/22 13:37:26 [Scanner] Audit complete. Scanned 1468 files. 0 threats detected.
2026/05/22 13:37:56 [Scanner] Audit complete. Scanned 1016 files. 0 threats detected.
2026/05/22 13:38:26 [Scanner] Audit complete. Scanned 2970 files. 0 threats detected.
2026/05/22 13:38:26 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 13:38:56 [Scanner] Audit complete. Scanned 5882 files. 0 threats detected.
2026/05/22 14:21:22 [Scanner] Audit complete. Scanned 5996 files. 0 threats detected.
2026/05/22 14:21:52 [Scanner] Audit complete. Scanned 2327 files. 0 threats detected.
2026/05/22 14:22:22 [Scanner] Audit complete. Scanned 3291 files. 0 threats detected.
2026/05/22 14:22:22 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 14:22:52 [Scanner] Audit complete. Scanned 5702 files. 0 threats detected.
2026/05/22 14:23:22 [Scanner] Audit complete. Scanned 1564 files. 0 threats detected.
2026/05/22 14:23:22 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 14:23:52 [Scanner] Audit complete. Scanned 4427 files. 0 threats detected.
2026/05/22 14:24:22 [Scanner] Audit complete. Scanned 5346 files. 0 threats detected.
2026/05/22 14:24:52 [Scanner] Audit complete. Scanned 5487 files. 0 threats detected.
2026/05/22 14:24:52 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 14:25:22 [Scanner] Audit complete. Scanned 2428 files. 0 threats detected.
2026/05/22 14:25:52 [Scanner] Audit complete. Scanned 1570 files. 0 threats detected.
2026/05/22 14:26:22 [Scanner] Audit complete. Scanned 1126 files. 0 threats detected.
2026/05/22 14:26:52 [Scanner] Audit complete. Scanned 2738 files. 0 threats detected.
2026/05/22 14:27:22 [Scanner] Audit complete. Scanned 5302 files. 0 threats detected.
2026/05/22 14:27:52 [Scanner] Audit complete. Scanned 3776 files. 0 threats detected.
2026/05/22 14:28:22 [Scanner] Audit complete. Scanned 3521 files. 0 threats detected.
2026/05/22 14:28:52 [Scanner] Audit complete. Scanned 3551 files. 0 threats detected.
2026/05/22 14:29:22 [Scanner] Audit complete. Scanned 3259 files. 0 threats detected.
2026/05/22 14:29:52 [Scanner] Audit complete. Scanned 2151 files. 0 threats detected.
2026/05/22 14:29:52 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 14:30:22 [Scanner] Audit complete. Scanned 3874 files. 0 threats detected.
2026/05/22 14:30:22 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 14:30:52 [Scanner] Audit complete. Scanned 4692 files. 0 threats detected.
2026/05/22 14:31:22 [Scanner] Audit complete. Scanned 4620 files. 0 threats detected.
2026/05/22 14:31:22 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 14:31:52 [Scanner] Audit complete. Scanned 2621 files. 0 threats detected.
2026/05/22 14:32:22 [Scanner] Audit complete. Scanned 1961 files. 0 threats detected.
2026/05/22 14:32:52 [Scanner] Audit complete. Scanned 4329 files. 0 threats detected.
2026/05/22 14:32:52 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 14:33:22 [Scanner] Audit complete. Scanned 4428 files. 0 threats detected.
2026/05/22 14:33:22 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 14:33:52 [Scanner] Audit complete. Scanned 2476 files. 0 threats detected.
2026/05/22 14:34:22 [Scanner] Audit complete. Scanned 4537 files. 0 threats detected.
2026/05/22 14:34:52 [Scanner] Audit complete. Scanned 5819 files. 0 threats detected.
2026/05/22 14:35:22 [Scanner] Audit complete. Scanned 2031 files. 0 threats detected.
2026/05/22 14:35:22 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 14:35:52 [Scanner] Audit complete. Scanned 3969 files. 0 threats detected.
2026/05/22 14:36:22 [Scanner] Audit complete. Scanned 1061 files. 0 threats detected.
2026/05/22 14:36:52 [Scanner] Audit complete. Scanned 4288 files. 0 threats detected.
2026/05/22 14:37:22 [Scanner] Audit complete. Scanned 5227 files. 0 threats detected.
2026/05/22 14:37:52 [Scanner] Audit complete. Scanned 2772 files. 0 threats detected.
2026/05/22 14:38:22 [Scanner] Audit complete. Scanned 4191 files. 0 threats detected.
2026/05/22 14:38:22 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 14:38:52 [Scanner] Audit complete. Scanned 3474 files. 0 threats detected.
2026/05/22 14:39:22 [Scanner] Audit complete. Scanned 3660 files. 0 threats detected.
2026/05/22 14:39:52 [Scanner] Audit complete. Scanned 3600 files. 0 threats detected.
2026/05/22 14:40:22 [Scanner] Audit complete. Scanned 3949 files. 0 threats detected.
2026/05/22 14:40:52 [Scanner] Audit complete. Scanned 5750 files. 0 threats detected.
2026/05/22 14:41:22 [Scanner] Audit complete. Scanned 4075 files. 0 threats detected.
2026/05/22 14:41:52 [Scanner] Audit complete. Scanned 1535 files. 0 threats detected.
2026/05/22 14:42:22 [Scanner] Audit complete. Scanned 3927 files. 0 threats detected.
2026/05/22 14:42:22 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 14:42:52 [Scanner] Audit complete. Scanned 1888 files. 0 threats detected.
2026/05/22 14:43:22 [Scanner] Audit complete. Scanned 2332 files. 0 threats detected.
2026/05/22 14:43:52 [Scanner] Audit complete. Scanned 2380 files. 0 threats detected.
2026/05/22 14:44:22 [Scanner] Audit complete. Scanned 3909 files. 0 threats detected.
2026/05/22 14:44:52 [Scanner] Audit complete. Scanned 4743 files. 0 threats detected.
2026/05/22 14:44:52 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 14:45:22 [Scanner] Audit complete. Scanned 3352 files. 0 threats detected.
2026/05/22 14:45:22 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 14:45:52 [Scanner] Audit complete. Scanned 3707 files. 0 threats detected.
2026/05/22 14:46:22 [Scanner] Audit complete. Scanned 2717 files. 0 threats detected.
2026/05/22 14:46:22 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 14:46:52 [Scanner] Audit complete. Scanned 4575 files. 0 threats detected.
2026/05/22 14:47:22 [Scanner] Audit complete. Scanned 1684 files. 0 threats detected.
2026/05/22 14:47:52 [Scanner] Audit complete. Scanned 3286 files. 0 threats detected.
2026/05/22 14:47:52 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 14:48:22 [Scanner] Audit complete. Scanned 1126 files. 0 threats detected.
2026/05/22 14:48:22 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 14:48:52 [Scanner] Audit complete. Scanned 2451 files. 0 threats detected.
2026/05/22 14:49:22 [Scanner] Audit complete. Scanned 1032 files. 0 threats detected.
2026/05/22 14:49:52 [Scanner] Audit complete. Scanned 2676 files. 0 threats detected.
2026/05/22 14:49:52 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 14:50:22 [Scanner] Audit complete. Scanned 3868 files. 0 threats detected.
2026/05/22 14:50:52 [Scanner] Audit complete. Scanned 4248 files. 0 threats detected.
2026/05/22 14:51:22 [Scanner] Audit complete. Scanned 5763 files. 0 threats detected.
2026/05/22 14:51:52 [Scanner] Audit complete. Scanned 2122 files. 0 threats detected.
2026/05/22 14:52:22 [Scanner] Audit complete. Scanned 2561 files. 0 threats detected.
2026/05/22 14:52:52 [Scanner] Audit complete. Scanned 3965 files. 0 threats detected.
2026/05/22 14:52:52 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 14:53:22 [Scanner] Audit complete. Scanned 3636 files. 0 threats detected.
2026/05/22 14:53:22 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 14:53:52 [Scanner] Audit complete. Scanned 3903 files. 0 threats detected.
2026/05/22 14:53:52 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 14:54:22 [Scanner] Audit complete. Scanned 1760 files. 0 threats detected.
2026/05/22 14:54:52 [Scanner] Audit complete. Scanned 4526 files. 0 threats detected.
2026/05/22 14:55:22 [Scanner] Audit complete. Scanned 1238 files. 0 threats detected.
2026/05/22 14:55:52 [Scanner] Audit complete. Scanned 3466 files. 0 threats detected.
2026/05/22 14:55:52 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 14:56:22 [Scanner] Audit complete. Scanned 2240 files. 0 threats detected.
2026/05/22 14:56:22 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 14:56:52 [Scanner] Audit complete. Scanned 1774 files. 0 threats detected.
2026/05/22 14:57:22 [Scanner] Audit complete. Scanned 4006 files. 0 threats detected.
2026/05/22 14:57:22 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 14:57:52 [Scanner] Audit complete. Scanned 2981 files. 0 threats detected.
2026/05/22 14:58:22 [Scanner] Audit complete. Scanned 2420 files. 0 threats detected.
2026/05/22 14:58:52 [Scanner] Audit complete. Scanned 2295 files. 0 threats detected.
2026/05/22 14:59:22 [Scanner] Audit complete. Scanned 4221 files. 0 threats detected.
2026/05/22 14:59:52 [Scanner] Audit complete. Scanned 1228 files. 0 threats detected.
2026/05/22 14:59:52 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 15:00:22 [Scanner] Audit complete. Scanned 3116 files. 0 threats detected.
2026/05/22 15:00:52 [Scanner] Audit complete. Scanned 1673 files. 0 threats detected.
2026/05/22 15:00:52 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 15:01:22 [Scanner] Audit complete. Scanned 4420 files. 0 threats detected.
2026/05/22 15:01:52 [Scanner] Audit complete. Scanned 4096 files. 0 threats detected.
2026/05/22 15:02:22 [Scanner] Audit complete. Scanned 1642 files. 0 threats detected.
2026/05/22 15:02:52 [Scanner] Audit complete. Scanned 2433 files. 0 threats detected.
2026/05/22 15:03:22 [Scanner] Audit complete. Scanned 3205 files. 0 threats detected.
2026/05/22 15:03:52 [Scanner] Audit complete. Scanned 5987 files. 0 threats detected.
2026/05/22 15:04:22 [Scanner] Audit complete. Scanned 4973 files. 0 threats detected.
2026/05/22 15:04:52 [Scanner] Audit complete. Scanned 1981 files. 0 threats detected.
2026/05/22 15:05:22 [Scanner] Audit complete. Scanned 4175 files. 0 threats detected.
2026/05/22 15:05:22 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 15:05:52 [Scanner] Audit complete. Scanned 1700 files. 0 threats detected.
2026/05/22 15:05:52 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 15:06:22 [Scanner] Audit complete. Scanned 1743 files. 0 threats detected.
2026/05/22 15:06:52 [Scanner] Audit complete. Scanned 4860 files. 0 threats detected.
2026/05/22 15:07:22 [Scanner] Audit complete. Scanned 5803 files. 0 threats detected.
2026/05/22 15:07:52 [Scanner] Audit complete. Scanned 3260 files. 0 threats detected.
2026/05/22 15:08:22 [Scanner] Audit complete. Scanned 5208 files. 0 threats detected.
2026/05/22 15:08:52 [Scanner] Audit complete. Scanned 3014 files. 0 threats detected.
2026/05/22 15:09:22 [Scanner] Audit complete. Scanned 3824 files. 0 threats detected.
2026/05/22 15:09:52 [Scanner] Audit complete. Scanned 1404 files. 0 threats detected.
2026/05/22 15:09:52 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 15:10:22 [Scanner] Audit complete. Scanned 2668 files. 0 threats detected.
2026/05/22 15:10:22 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 15:10:52 [Scanner] Audit complete. Scanned 4017 files. 0 threats detected.
2026/05/22 15:11:22 [Scanner] Audit complete. Scanned 5369 files. 0 threats detected.
2026/05/22 15:11:52 [Scanner] Audit complete. Scanned 1826 files. 0 threats detected.
2026/05/22 15:12:22 [Scanner] Audit complete. Scanned 5573 files. 0 threats detected.
2026/05/22 15:12:52 [Scanner] Audit complete. Scanned 4421 files. 0 threats detected.
2026/05/22 15:12:52 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 15:13:22 [Scanner] Audit complete. Scanned 3595 files. 0 threats detected.
2026/05/22 15:13:52 [Scanner] Audit complete. Scanned 3657 files. 0 threats detected.
2026/05/22 15:13:52 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 15:14:22 [Scanner] Audit complete. Scanned 4910 files. 0 threats detected.
2026/05/22 15:14:52 [Scanner] Audit complete. Scanned 4883 files. 0 threats detected.
2026/05/22 15:14:52 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 15:15:22 [Scanner] Audit complete. Scanned 1956 files. 0 threats detected.
2026/05/22 15:15:52 [Scanner] Audit complete. Scanned 5642 files. 0 threats detected.
2026/05/22 15:15:52 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 15:16:22 [Scanner] Audit complete. Scanned 5310 files. 0 threats detected.
2026/05/22 15:16:52 [Scanner] Audit complete. Scanned 1574 files. 0 threats detected.
2026/05/22 15:17:22 [Scanner] Audit complete. Scanned 1895 files. 0 threats detected.
2026/05/22 15:17:52 [Scanner] Audit complete. Scanned 3587 files. 0 threats detected.
2026/05/22 15:17:52 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 15:18:22 [Scanner] Audit complete. Scanned 5132 files. 0 threats detected.
2026/05/22 15:18:52 [Scanner] Audit complete. Scanned 5785 files. 0 threats detected.
2026/05/22 15:19:22 [Scanner] Audit complete. Scanned 1524 files. 0 threats detected.
2026/05/22 15:19:52 [Scanner] Audit complete. Scanned 2037 files. 0 threats detected.
2026/05/22 15:20:22 [Scanner] Audit complete. Scanned 4396 files. 0 threats detected.
2026/05/22 15:20:22 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 15:20:52 [Scanner] Audit complete. Scanned 2003 files. 0 threats detected.
2026/05/22 15:21:22 [Scanner] Audit complete. Scanned 5781 files. 0 threats detected.
2026/05/22 15:21:52 [Scanner] Audit complete. Scanned 3143 files. 0 threats detected.
2026/05/22 15:22:22 [Scanner] Audit complete. Scanned 5401 files. 0 threats detected.
2026/05/22 15:22:52 [Scanner] Audit complete. Scanned 3390 files. 0 threats detected.
2026/05/22 15:22:52 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 15:23:22 [Scanner] Audit complete. Scanned 5235 files. 0 threats detected.
2026/05/22 15:23:22 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 15:23:52 [Scanner] Audit complete. Scanned 4086 files. 0 threats detected.
2026/05/22 15:24:22 [Scanner] Audit complete. Scanned 3330 files. 0 threats detected.
2026/05/22 15:24:52 [Scanner] Audit complete. Scanned 1395 files. 0 threats detected.
2026/05/22 15:25:22 [Scanner] Audit complete. Scanned 5864 files. 0 threats detected.
2026/05/22 15:25:52 [Scanner] Audit complete. Scanned 2630 files. 0 threats detected.
2026/05/22 15:26:22 [Scanner] Audit complete. Scanned 2615 files. 0 threats detected.
2026/05/22 15:26:52 [Scanner] Audit complete. Scanned 5266 files. 0 threats detected.
2026/05/22 15:27:22 [Scanner] Audit complete. Scanned 1787 files. 0 threats detected.
2026/05/22 15:27:52 [Scanner] Audit complete. Scanned 4975 files. 0 threats detected.
2026/05/22 15:28:22 [Scanner] Audit complete. Scanned 5237 files. 0 threats detected.
2026/05/22 15:28:52 [Scanner] Audit complete. Scanned 5095 files. 0 threats detected.
2026/05/22 15:29:22 [Scanner] Audit complete. Scanned 1267 files. 0 threats detected.
2026/05/22 15:29:22 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 15:29:52 [Scanner] Audit complete. Scanned 2311 files. 0 threats detected.
2026/05/22 15:29:52 [Scanner] Real-time mail audit: reseller1.neocp.io -> Cleaned and delivered.
2026/05/22 15:30:22 [Scanner] Audit complete. Scanned 3930 files. 0 threats detected.
2026/05/22 15:30:52 [Scanner] Audit complete. Scanned 4768 files. 0 threats detected.
2026/05/22 15:31:22 [Scanner] Audit complete. Scanned 5864 files. 0 threats detected.
2026/05/22 15:31:52 [Scanner] Audit complete. Scanned 1217 files. 0 threats detected.
2026/05/22 15:31:52 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 15:32:22 [Scanner] Audit complete. Scanned 2495 files. 0 threats detected.
2026/05/22 15:32:22 [Scanner] Real-time mail audit: admin.neocp.io -> Cleaned and delivered.
2026/05/22 15:32:52 [Scanner] Audit complete. Scanned 3530 files. 0 threats detected.
2026/05/22 15:32:52 [Scanner] Real-time mail audit: patel.neocp.io -> Cleaned and delivered.
2026/05/22 15:33:22 [Scanner] Audit complete. Scanned 3986 files. 0 threats detected.
2026/05/22 15:33:52 [Scanner] Audit complete. Scanned 4700 files. 0 threats detected.
